epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik
1,0.93837890625,0.9376385195035462,-0.022140196,-0.022125881,-2529.016971670746,-3635.167865835785
2,0.955859375,0.9587655141843971,-0.015092036,-0.014094538,-2455.53137215816,-3150.283310024371
3,0.96806640625,0.9739804964539007,-0.010759772,-0.009099126,-2406.687159520374,-2845.037013035999
4,0.97314453125,0.9812610815602837,-0.0090149585,-0.0065560904,-2382.6156048621024,-2685.8314404333914
5,0.97470703125,0.984912455673759,-0.008396975,-0.005088261,-2369.262433901265,-2590.5883387474564
6,0.9740234375,0.9876994680851063,-0.0083436845,-0.004244713,-2361.528422943682,-2532.7743641057914
7,0.9740234375,0.9895445478723405,-0.00828791,-0.0035809607,-2353.483355515222,-2485.461886399011
8,0.97373046875,0.9909075797872341,-0.008241826,-0.0029969672,-2345.0982496902798,-2442.498014704928
9,0.97587890625,0.9924202127659575,-0.008195797,-0.002484397,-2336.07830156616,-2403.184159415281
10,0.97529296875,0.9917553191489362,-0.00902194,-0.0025330526,-2334.5418427618197,-2396.3055985601595
11,0.9771484375,0.9937832446808511,-0.008584148,-0.0019236458,-2319.260221384292,-2348.8374918921045
12,0.97978515625,0.9961768617021277,-0.007961265,-0.0012055439,-2300.3126351807477,-2293.032621142662
13,0.97822265625,0.9952127659574468,-0.008878744,-0.0014860401,-2294.7083912457765,-2295.083353098804
14,0.97666015625,0.9921043882978723,-0.009946574,-0.0021870541,-2289.7959817590663,-2321.553489083285
15,0.98076171875,0.9981715425531915,-0.007849961,-0.0006652777,-2252.4009214518906,-2213.8179823039413
16,0.9802734375,0.9977393617021276,-0.008243429,-0.000702751,-2237.802077248234,-2197.532847359318
17,0.98115234375,0.9975565159574468,-0.0086509725,-0.0007416856,-2221.4269269241586,-2179.4183362259164
18,0.98173828125,0.9989860372340426,-0.0085235005,-0.00038682573,-2198.240166352446,-2136.2147013408494
19,0.97783203125,0.9974567819148936,-0.009779745,-0.0008792402,-2186.861866589823,-2141.8188329899695
20,0.978515625,0.9972406914893617,-0.009504209,-0.00082628767,-2160.601245137604,-2115.136412831696
21,0.98251953125,0.9996176861702127,-0.007946185,-0.00016990144,-2121.8432362038056,-2052.5754768806855
22,0.97958984375,0.9984707446808511,-0.009580432,-0.0004941531,-2112.601962086259,-2046.4468278852094
23,0.9798828125,0.9984707446808511,-0.009154524,-0.00046155797,-2079.536047756973,-2015.6842907074124
24,0.984375,0.9999667553191489,-0.007701066,-4.014795e-5,-2033.7032972050024,-1959.1015158367468
25,0.98427734375,1.0,-0.007562692,-3.1848504e-5,-1997.302298736045,-1923.586294006774
26,0.98447265625,1.0,-0.007539737,-3.088625e-5,-1958.9887003803958,-1885.44450603969
27,0.98447265625,1.0,-0.007483102,-3.133792e-5,-1917.5512517752902,-1844.600510484244
28,0.98408203125,1.0,-0.0074123875,-3.2868287e-5,-1873.4380571059964,-1801.2862759046338
29,0.98408203125,1.0,-0.007336468,-3.5425724e-5,-1826.997453370539,-1755.7583192972816
30,0.98388671875,1.0,-0.007264006,-3.911224e-5,-1778.6351305538428,-1708.3418046528113
31,0.98388671875,1.0,-0.007194747,-4.361141e-5,-1728.7260532593164,-1659.3952663158807
32,0.983984375,0.9999833776595745,-0.007142569,-4.8550777e-5,-1677.812848119718,-1609.3002050208868
33,0.98388671875,0.9999833776595745,-0.007109682,-5.2643794e-5,-1626.2745407644322,-1558.33635149632
34,0.983984375,0.9999833776595745,-0.007092939,-5.5017696e-5,-1574.3004531942752,-1506.672124870911
35,0.9841796875,0.9999833776595745,-0.007097941,-5.6117584e-5,-1522.137963305589,-1454.5256099806988
36,0.98427734375,0.9999833776595745,-0.0071101873,-5.542111e-5,-1469.9307846008323,-1402.1541758953117
37,0.984375,0.9999833776595745,-0.0071353475,-5.390145e-5,-1418.111684804201,-1349.9922943165302
38,0.984375,0.9999833776595745,-0.00716156,-5.094938e-5,-1367.0095376561092,-1298.450899798672
39,0.98408203125,0.9999833776595745,-0.0072197467,-5.2240714e-5,-1317.3453800737527,-1248.2823588907388
40,0.98447265625,0.9999833776595745,-0.0072566974,-4.9077295e-5,-1268.9765473361936,-1199.3542142864194
41,0.98408203125,0.9999833776595745,-0.007315719,-4.8475595e-5,-1222.7121148565393,-1152.4634621599298
42,0.98427734375,0.9999833776595745,-0.007357861,-4.5814737e-5,-1178.524428382105,-1107.6947069312994
43,0.9841796875,0.9999833776595745,-0.007423147,-4.5877336e-5,-1137.1913154003494,-1065.7124874470107
44,0.9841796875,0.9999833776595745,-0.007482085,-4.3753942e-5,-1098.730870721286,-1026.5352606748993
45,0.983984375,0.9999833776595745,-0.0075133885,-4.0425275e-5,-1063.0464084913679,-990.3380368521163
46,0.9837890625,0.9999833776595745,-0.007573088,-3.96005e-5,-1030.8771417322075,-957.5222912015831
47,0.9837890625,0.9999667553191489,-0.0076481975,-4.0562285e-5,-1002.0763279837478,-928.0280932825912
48,0.9833984375,0.9999833776595745,-0.0076930868,-3.772504e-5,-976.1561541284972,-901.4887864317351
49,0.98359375,0.9999833776595745,-0.007734093,-3.5427467e-5,-953.1653547777414,-877.950075675416
50,0.9837890625,0.9999833776595745,-0.0078100795,-3.3667253e-5,-933.3200050958463,-857.2392484315702
51,0.98369140625,0.9999833776595745,-0.007849895,-3.10016e-5,-915.734514791473,-839.095655996307
52,0.98310546875,0.9999833776595745,-0.007895939,-2.9146242e-5,-900.5893896867856,-823.3787754823788
53,0.98310546875,0.9999833776595745,-0.00794687,-2.8288505e-5,-887.60644847529,-809.8350545801408
54,0.983203125,0.9999833776595745,-0.008020428,-2.8333674e-5,-876.6666653780594,-798.1624087719574
55,0.98349609375,0.9999833776595745,-0.0080899205,-2.8615052e-5,-867.4214518778556,-788.2391468994849
56,0.98349609375,0.9999833776595745,-0.008145026,-2.5340267e-5,-859.432178970864,-779.5023386445548
57,0.9837890625,0.9999833776595745,-0.008244963,-2.5032723e-5,-853.2629443076949,-772.3152769473891
58,0.97626953125,0.9937832446808511,-0.0106805395,-0.0019053504,-871.7886714346685,-879.3042964346685
59,0.98369140625,0.9999501329787234,-0.006737948,-6.889096e-5,-832.9917281312178,-769.7457068604658
60,0.98447265625,1.0,-0.0068459148,-2.8719647e-5,-834.4471161191663,-767.7111503904065
61,0.9849609375,1.0,-0.0069141057,-2.0281139e-5,-835.3198424767404,-767.3956508826166
62,0.98466796875,1.0,-0.007014005,-1.6464008e-5,-836.4140250629362,-767.2618127411779
63,0.984765625,1.0,-0.007107289,-1.3894148e-5,-837.3731548216733,-767.1339124467763
64,0.98486328125,1.0,-0.0071891057,-1.2007521e-5,-838.1560222884492,-766.9854136487321
65,0.98486328125,1.0,-0.0072646546,-1.0565161e-5,-838.8169722818603,-766.8043365144005
66,0.9849609375,1.0,-0.0073316493,-9.44723e-6,-839.3334411773046,-766.5837847980818
67,0.9849609375,1.0,-0.007392781,-8.556622e-6,-839.7317155918489,-766.3173021993051
68,0.984765625,1.0,-0.0074484474,-7.846003e-6,-840.0143100924724,-766.0005961067909
69,0.98486328125,1.0,-0.007500611,-7.2785506e-6,-840.1990712879965,-765.629673182852
70,0.98505859375,1.0,-0.007551653,-6.827487e-6,-840.3075758150092,-765.2006997695437
71,0.98515625,1.0,-0.0075946124,-6.4663527e-6,-840.268226966112,-764.710086926668
72,0.98525390625,1.0,-0.0076325648,-6.189696e-6,-840.1108352958313,-764.1565716086975
73,0.98505859375,1.0,-0.0076688235,-5.9844197e-6,-839.8665329842617,-763.5373657374431
74,0.9849609375,1.0,-0.0076992786,-5.8531755e-6,-839.4944000395865,-762.8528003546328
75,0.98505859375,1.0,-0.007727766,-5.7779584e-6,-839.0334962948849,-762.1025172516396
76,0.9849609375,1.0,-0.007749615,-5.7431425e-6,-838.4386044370151,-761.2870458291984
77,0.9849609375,1.0,-0.007770677,-5.7571815e-6,-837.7706372814883,-760.4092963116874
78,0.98466796875,1.0,-0.00778928,-5.802409e-6,-837.0154099319232,-759.4707550857318
79,0.98466796875,1.0,-0.0078046755,-5.8793194e-6,-836.1692435749935,-758.4752497979568
80,0.98466796875,1.0,-0.007821517,-5.9954878e-6,-835.2819117222373,-757.4264691684787
81,0.98447265625,1.0,-0.007837004,-6.127481e-6,-834.3293701644453,-756.3269781108412
82,0.984375,1.0,-0.007845248,-6.2700074e-6,-833.2553753439895,-755.1790916506759
83,0.984375,1.0,-0.007859762,-6.453009e-6,-832.1955443928546,-753.9851068268126
84,0.98427734375,1.0,-0.007872051,-6.64588e-6,-831.065703027238,-752.7439510750667
85,0.98427734375,1.0,-0.007884666,-6.8243116e-6,-829.8932219698327,-751.4560162379639
86,0.98427734375,1.0,-0.007892851,-6.9380117e-6,-828.6295231774843,-750.117298920492
87,0.98408203125,1.0,-0.007906099,-7.0954497e-6,-827.3717233118182,-748.7364609119063
88,0.9841796875,1.0,-0.007916029,-7.09562e-6,-826.0328009664331,-747.2982522188936
89,0.984375,1.0,-0.007933144,-7.0204082e-6,-824.722149433588,-745.8119301516762
90,0.984375,1.0,-0.007952343,-6.9851635e-6,-823.3908266145154,-744.2865065652295
91,0.98427734375,1.0,-0.007973691,-6.911753e-6,-822.0445760441081,-742.7223656428115
92,0.984375,1.0,-0.008000833,-6.827841e-6,-820.7249146610869,-741.1262538046016
93,0.98427734375,1.0,-0.008016102,-6.6788252e-6,-819.2580258211894,-739.4977369568153
94,0.984375,1.0,-0.008061861,-6.578954e-6,-818.0750932210472,-737.8512238973167
95,0.98408203125,1.0,-0.008089531,-6.4728147e-6,-816.7033266651895,-736.1963860917356
96,0.98427734375,1.0,-0.008132972,-6.474575e-6,-815.4825572086467,-734.5413121594084
97,0.9841796875,1.0,-0.00815616,-6.2842355e-6,-814.0583646498013,-732.8738190434266
98,0.98408203125,1.0,-0.008189895,-6.227527e-6,-812.7534284841887,-731.228131438481
99,0.9841796875,1.0,-0.00823535,-6.1573933e-6,-811.5777112103848,-729.5936544395832
100,0.983984375,1.0,-0.00827112,-6.223347e-6,-810.3285061971793,-727.9907101349482
